image_id,video_id,label_studio_id,exist,colour,rotation,occlusion,synthetic,players,original,origid,shuttle_exist,gender,background_colour,test
236,5,70,Yes,Green,No,No,No,2,No,68,No,Men,Violet,False
237,5,71,Yes,Green,No,No,No,2,No,68,No,Men,Violet,False
244,5,72,Yes,Green,No,No,No,2,No,68,Yes,Men,Violet,False
261,6,73,Yes,Green,No,No,No,2,Yes,73,Yes,Men,Red,False
262,6,74,Yes,Green,No,No,No,2,No,73,No,Men,Red,False
266,6,75,Yes,Green,No,No,No,2,No,73,No,Men,Red,False
267,6,76,Yes,Green,No,No,No,2,No,73,No,Men,Red,False
274,6,77,Yes,Green,No,No,No,2,No,73,No,Men,Red,False
276,6,78,Yes,Green,No,No,No,2,No,73,Yes,Men,Red,False
278,6,79,Yes,Green,No,No,No,2,No,73,No,Men,Red,False
280,6,80,Yes,Green,No,No,No,2,No,73,Yes,Men,Red,False
281,6,81,Yes,Green,No,No,No,2,No,73,No,Men,Red,False
282,6,82,Yes,Green,No,No,No,2,No,73,No,Men,Red,False
290,7,83,Yes,Green,No,No,No,2,Yes,83,Yes,Men,Red,False
293,7,84,Yes,Green,No,No,No,2,No,83,Yes,Men,Red,False
294,7,85,Yes,Green,No,No,No,2,No,83,No,Men,Red,False
298,7,86,Yes,Green,No,No,No,2,No,83,Yes,Men,Red,False
300,7,87,Yes,Green,No,No,No,2,No,83,No,Men,Red,False
301,7,88,Yes,Green,No,No,No,1,No,83,No,Men,Red,False
302,7,89,Yes,Green,No,No,No,2,No,83,Yes,Men,Red,False
303,7,90,Yes,Green,No,No,No,2,No,83,Yes,Men,Red,False
309,7,91,Yes,Green,No,No,No,2,No,83,No,Men,Red,False
313,7,92,Yes,Green,No,No,No,2,No,83,Yes,Men,Red,False
316,7,93,Yes,Green,No,No,No,1,No,83,Yes,Men,Red,False
317,7,94,Yes,Green,No,No,No,2,No,83,No,Men,Red,False
318,7,95,Yes,Green,No,No,No,2,No,83,No,Men,Red,False
328,8,96,Yes,Green,No,No,No,2,Yes,96,Yes,Men,Blue,False
331,8,97,Yes,Green,No,No,No,2,No,96,No,Men,Blue,False
332,8,98,Yes,Green,No,No,No,2,No,96,Yes,Men,Blue,False
334,8,99,Yes,Green,No,No,No,2,No,96,Yes,Men,Blue,False
335,8,100,Yes,Green,No,No,No,2,No,96,No,Men,Blue,False
337,8,101,Yes,Green,No,No,No,2,No,96,Yes,Men,Blue,False
338,8,102,Yes,Green,No,No,No,2,No,96,Yes,Men,Blue,False
340,8,103,Yes,Green,No,No,No,2,No,96,Yes,Men,Blue,False
343,8,104,Yes,Green,No,No,No,2,No,96,No,Men,Blue,False
346,8,105,Yes,Green,No,No,No,2,No,96,No,Men,Blue,False
350,8,106,Yes,Green,No,No,No,2,No,96,No,Men,Blue,False
351,8,107,Yes,Green,No,No,No,2,No,96,Yes,Men,Blue,False
352,8,108,Yes,Green,No,No,No,2,No,96,No,Men,Blue,False
372,9,109,Yes,Green,No,No,No,2,Yes,109,Yes,Men,Blue,False
374,9,110,Yes,Green,No,No,No,2,No,109,Yes,Men,Blue,False
376,9,111,Yes,Green,No,No,No,2,No,109,No,Men,Blue,False
378,9,112,Yes,Green,No,No,No,2,No,109,No,Men,Blue,False
381,9,113,Yes,Green,No,No,No,2,No,109,No,Men,Blue,False
382,9,114,Yes,Green,No,No,No,2,No,109,No,Men,Blue,False
386,9,115,Yes,Green,No,No,No,2,No,109,Yes,Men,Blue,False
387,9,116,Yes,Green,No,No,No,2,No,109,No,Men,Blue,False
389,9,117,Yes,Green,No,No,No,2,No,109,Yes,Men,Blue,False
392,9,118,Yes,Green,No,No,No,2,No,109,Yes,Men,Blue,False
397,9,119,Yes,Green,No,No,No,2,No,109,Yes,Men,Blue,False
398,9,120,Yes,Green,No,No,No,1,No,109,Yes,Men,Blue,False
406,10,121,Yes,Green,No,Yes,No,4,Yes,121,Yes,Mix,Orange,False
441,11,122,Yes,Green,No,Yes,No,2,Yes,122,No,Men,Pink,False
443,11,123,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
446,11,124,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
451,11,125,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
452,11,126,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
453,11,127,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
454,11,128,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
464,11,129,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
468,11,130,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
470,11,131,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
473,11,132,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
474,11,133,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
477,11,134,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
479,11,135,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
482,11,136,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
483,11,137,Yes,Green,No,No,No,2,No,122,Yes,Men,Pink,False
487,11,138,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
489,11,139,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
491,11,140,Yes,Green,No,No,No,2,No,122,No,Men,Pink,False
498,12,141,Yes,Green,No,No,No,2,Yes,141,No,Men,Grey,False
499,12,142,Yes,Green,No,No,No,0,No,141,Yes,Men,Grey,False
500,12,143,Yes,Green,No,No,No,1,No,141,No,Men,Grey,False
501,12,144,Yes,Green,No,No,No,0,No,141,No,Men,Grey,False
502,12,145,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
503,12,146,Yes,Green,No,No,No,1,No,141,Yes,Men,Grey,False
504,12,147,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
505,12,148,Yes,Green,No,No,No,0,No,141,Yes,Men,Grey,False
506,12,149,Yes,Green,No,No,No,1,No,141,No,Men,Grey,False
507,12,150,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
508,12,151,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
509,12,152,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
510,12,153,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
511,12,154,Yes,Green,No,No,No,2,No,141,Yes,Men,Grey,False
512,12,155,Yes,Green,No,No,No,1,No,141,No,Men,Grey,False
513,12,156,Yes,Green,No,No,No,1,No,141,Yes,Men,Grey,False
514,12,157,Yes,Green,No,No,No,2,No,141,Yes,Men,Grey,False
515,12,158,Yes,Green,No,No,No,2,No,141,Yes,Men,Grey,False
516,12,159,Yes,Green,No,No,No,2,No,141,Yes,Men,Grey,False
517,12,160,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
518,12,161,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
519,12,162,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
520,12,163,Yes,Green,No,No,No,0,No,141,No,Men,Grey,False
521,12,164,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
522,12,165,Yes,Green,No,No,No,2,No,141,Yes,Men,Grey,False
523,12,166,Yes,Green,No,No,No,2,No,141,No,Men,Grey,False
524,12,167,Yes,Green,No,No,No,2,No,141,Yes,Men,Grey,False
528,13,168,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
531,13,169,Yes,Green,No,No,No,4,Yes,169,No,Mix,Pink,False
539,13,170,Yes,Green,No,No,No,4,No,169,Yes,Mix,Pink,False
542,13,171,Yes,Green,No,No,No,4,No,169,No,Mix,Pink,False
551,13,172,Yes,Green,No,Yes,No,4,No,169,No,Mix,Pink,False
564,14,173,Yes,Green,No,No,No,2,Yes,173,Yes,Women,Blue,False
565,14,174,Yes,Green,No,No,No,2,No,173,No,Women,Blue,False
568,14,175,Yes,Green,No,No,No,2,No,173,No,Women,Blue,False
569,14,176,Yes,Green,No,No,No,2,No,173,No,Women,Blue,False
573,14,177,Yes,Green,No,No,No,2,No,173,No,Women,Blue,False
575,14,178,Yes,Green,No,No,No,2,No,173,No,Women,Blue,False
581,14,179,Yes,Green,No,No,No,2,No,173,Yes,Women,Blue,False
582,14,180,Yes,Green,No,No,No,2,No,173,Yes,Women,Blue,False
583,14,181,Yes,Green,No,No,No,2,No,173,No,Women,Blue,False
587,14,182,Yes,Green,No,No,No,2,No,173,Yes,Women,Blue,False
593,14,183,Yes,Green,No,No,No,2,No,173,No,Women,Blue,False
598,14,184,Yes,Green,No,No,No,2,No,173,No,Women,Blue,False
600,14,185,Yes,Green,No,No,No,1,No,173,No,Women,Blue,False
611,15,186,Yes,Green,No,No,No,2,Yes,186,No,Men,Blue,False
612,15,187,Yes,Green,No,No,No,2,No,186,No,Men,Blue,False
621,15,188,Yes,Green,No,No,No,2,No,186,Yes,Men,Blue,False
624,15,189,Yes,Green,No,No,No,2,No,186,No,Men,Blue,False
625,15,190,Yes,Green,No,No,No,2,No,186,Yes,Men,Blue,False
627,15,191,Yes,Green,No,No,No,2,No,186,Yes,Men,Blue,False
628,15,192,Yes,Green,No,No,No,1,No,186,Yes,Men,Blue,False
630,15,193,Yes,Green,No,No,No,2,No,186,Yes,Men,Blue,False
631,15,194,Yes,Green,No,No,No,2,No,186,No,Men,Blue,False
633,15,195,Yes,Green,No,No,No,2,No,186,No,Men,Blue,False
637,15,196,Yes,Green,No,No,No,2,No,186,Yes,Men,Blue,False
638,15,197,Yes,Green,No,No,No,2,No,186,No,Men,Blue,False
639,15,198,Yes,Green,No,No,No,2,No,186,Yes,Men,Blue,False
8,0,199,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
16,0,200,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
2,0,201,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
3,0,202,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
5,0,203,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
0,0,204,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1,0,205,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
7,0,206,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
21,0,207,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
27,0,208,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
32,0,209,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
41,0,210,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
45,0,211,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
69,1,212,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
71,1,213,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
72,1,214,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
77,1,215,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
80,1,216,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
90,1,217,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
97,1,218,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
106,2,219,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
121,2,220,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
122,2,221,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
124,2,222,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
135,2,223,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
136,2,224,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
138,2,225,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
150,3,226,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
151,3,227,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
157,3,228,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
162,3,229,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
166,3,230,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
228,5,231,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
229,5,232,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
230,5,233,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
242,5,234,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
249,5,235,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
252,5,236,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
254,6,237,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
255,6,238,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
256,6,239,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
260,6,240,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
264,6,241,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
265,6,242,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
287,7,243,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
291,7,244,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
292,7,245,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
299,7,246,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
304,7,247,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
315,7,248,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
319,7,249,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
322,7,250,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
323,7,251,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
324,8,252,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
327,8,253,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
333,8,254,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
342,8,255,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
345,8,256,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
349,8,257,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
634,15,258,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
636,15,259,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
643,10,260,Yes,Green,No,Yes,No,4,No,121,No,Mix,Orange,False
646,10,261,Yes,Green,No,No,No,4,No,-121,Yes,Mix,Orange,False
652,10,262,Yes,Green,No,Yes,No,4,No,121,No,Mix,Orange,False
655,10,263,Yes,Green,No,No,No,4,No,121,Yes,Mix,Orange,False
658,10,264,Yes,Green,No,No,No,4,No,121,No,Mix,Orange,False
659,10,265,Yes,Green,No,No,No,4,No,121,No,Mix,Orange,False
660,10,266,Yes,Green,No,No,No,4,No,121,No,Mix,Orange,False
667,10,267,Yes,Green,No,No,No,4,No,121,No,Mix,Orange,False
672,10,268,Yes,Green,No,No,No,4,No,121,No,Mix,Orange,False
675,10,269,Yes,Green,No,Yes,No,4,No,121,Yes,Mix,Orange,False
684,16,270,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
689,16,271,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
702,16,272,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
705,16,273,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
718,16,274,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
719,16,275,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
747,16,276,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
750,16,277,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
752,16,278,No,Green,No,No,No,2,No,-1,No,Men,Blue,True
768,17,279,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
771,17,280,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
774,17,281,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
781,17,282,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
782,17,283,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
784,17,284,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
786,17,285,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
802,17,286,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
814,17,287,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
815,17,288,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
824,17,289,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
832,17,290,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
834,18,291,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
836,18,292,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
837,18,293,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
839,18,294,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
853,18,295,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
861,18,296,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
879,18,297,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
880,18,298,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
890,18,299,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
894,18,300,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
916,19,301,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
917,19,302,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
919,19,303,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
923,19,304,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
925,19,305,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
935,19,306,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
937,19,307,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
950,20,308,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
951,20,309,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
954,20,310,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
958,20,311,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
970,20,312,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
971,20,313,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
979,20,314,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
996,20,315,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
998,20,316,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1028,21,317,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1030,21,318,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1034,21,319,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1037,21,320,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1041,21,321,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1045,21,322,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1079,21,323,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1084,21,324,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1089,21,325,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1108,22,326,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1117,22,327,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1118,22,328,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1127,22,329,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1137,22,330,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1158,22,331,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1159,22,332,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1167,22,333,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1176,23,334,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1188,23,335,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1196,23,336,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1201,23,337,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1204,23,338,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1222,23,339,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1229,23,340,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1231,23,341,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1247,24,342,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1254,24,343,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1259,24,344,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1268,24,345,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1270,24,346,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1274,24,347,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1282,24,348,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1291,24,349,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1292,24,350,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1300,24,351,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1327,24,352,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1333,25,353,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1335,25,354,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1341,25,355,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1344,25,356,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1354,25,357,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1386,25,358,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1395,25,359,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1405,26,360,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1410,26,361,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1428,26,362,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1431,26,363,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1448,26,364,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1452,26,365,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1175,23,369,Yes,Green,No,No,No,3,No,387,No,Men,Yellow,False
1207,23,382,Yes,Green,No,Yes,No,4,Yes,382,No,Men,Yellow,False
1208,23,383,Yes,Green,No,No,No,4,No,387,Yes,Men,Yellow,False
1210,23,384,Yes,Green,No,No,No,4,No,387,Yes,Men,Yellow,False
1211,23,385,Yes,Green,No,No,No,4,No,387,Yes,Men,Yellow,False
1212,23,386,Yes,Green,No,No,No,4,No,387,Yes,Men,Yellow,False
1223,23,387,Yes,Green,No,No,No,4,Yes,387,Yes,Men,Yellow,False
1227,23,388,Yes,Green,No,No,No,0,No,389,No,Men,Yellow,False
1228,23,389,Yes,Green,No,No,No,0,Yes,389,No,Men,Yellow,False
1245,24,390,Yes,Red,No,No,No,2,No,418,Yes,Men,Grey,False
1253,24,391,Yes,Red,No,No,No,2,No,418,Yes,Men,Grey,False
1255,24,392,Yes,Red,No,No,No,2,No,418,Yes,Men,Grey,False
1257,24,393,Yes,Red,No,No,No,2,No,418,Yes,Men,Grey,False
1260,24,394,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1264,24,395,Yes,Red,No,No,No,2,No,418,Yes,Men,Grey,False
1265,24,396,Yes,Red,No,No,No,2,No,418,Yes,Men,Grey,False
1266,24,397,No,Green,No,No,No,2,No,-1,No,Men,Blue,False
1267,24,398,Yes,Red,No,No,No,2,No,418,Yes,Men,Grey,False
